name:logis1	score:0.46079326428715284	score0:0.479874213836478	score1:0.44080604534005036	score2:0.45741324921135645	score3:0.461877756773787	score4:0.45483259633607076	score5:0.46995572422517395
name:logis1	score:0.4746089620847325	score0:0.4740740740740741	score1:0.4515132798023471	score2:0.4703337453646477	score3:0.49133663366336633	score4:0.4777227722772277	score5:0.48267326732673266
name:logis1	score:0.4746089620847325	score0:0.4740740740740741	score1:0.4515132798023471	score2:0.4703337453646477	score3:0.49133663366336633	score4:0.4777227722772277	score5:0.48267326732673266
name:logis1	score:0.4746089620847325	score0:0.4740740740740741	score1:0.4515132798023471	score2:0.4703337453646477	score3:0.49133663366336633	score4:0.4777227722772277	score5:0.48267326732673266
name:logis1	score:0.4746089620847325	score0:0.4740740740740741	score1:0.4515132798023471	score2:0.4703337453646477	score3:0.49133663366336633	score4:0.4777227722772277	score5:0.48267326732673266
name:logis1	score:0.4746089620847325	score0:0.4740740740740741	score1:0.4515132798023471	score2:0.4703337453646477	score3:0.49133663366336633	score4:0.4777227722772277	score5:0.48267326732673266
name:logis1	score:0.4746089620847325	score0:0.4740740740740741	score1:0.4515132798023471	score2:0.4703337453646477	score3:0.49133663366336633	score4:0.4777227722772277	score5:0.48267326732673266
name:logis1	score:0.4628626835210157	score0:0.4641975308641975	score1:0.43730697961704756	score2:0.4573547589616811	score3:0.47339108910891087	score4:0.46782178217821785	score5:0.4771039603960396
name:logis1	score:0.4746089620847325	score0:0.4740740740740741	score1:0.4515132798023471	score2:0.4703337453646477	score3:0.49133663366336633	score4:0.4777227722772277	score5:0.48267326732673266
name:logis1	score:0.38176213469434056	score0:0.39012345679012345	score1:0.3712168004941322	score2:0.3800988875154512	score3:0.38242574257425743	score4:0.36014851485148514	score5:0.40655940594059403
name:logis-td-idf-all	score:0.38176213469434056	score0:0.39012345679012345	score1:0.3712168004941322	score2:0.3800988875154512	score3:0.38242574257425743	score4:0.36014851485148514	score5:0.40655940594059403
name:logis-td-idf-all	score:0.41174399855824984	score0:0.4148148148148148	score1:0.41136504014823966	score2:0.4184177997527812	score3:0.41089108910891087	score4:0.39294554455445546	score5:0.422029702970297
name:logis-td-idf-all	score:0.41174399855824984	score0:0.4148148148148148	score1:0.41136504014823966	score2:0.4184177997527812	score3:0.41089108910891087	score4:0.39294554455445546	score5:0.422029702970297
name:logis1	score:0.45554345276083735	score0:0.46358024691358024	score1:0.42927733168622606	score2:0.4542645241038319	score3:0.4560643564356436	score4:0.45544554455445546	score5:0.4746287128712871
name:logis1	score:0.45636293199354405	score0:0.4685185185185185	score1:0.4478072884496603	score2:0.4437577255871446	score3:0.46472772277227725	score4:0.4405940594059406	score5:0.47277227722772275
name:logis1	score:0.4788262992939874	score0:0.48333333333333334	score1:0.4688079061148857	score2:0.48022249690976515	score3:0.46905940594059403	score4:0.48205445544554454	score5:0.48948019801980197
name:logis-term3-gram	score:0.4788262992939874	score0:0.48333333333333334	score1:0.4688079061148857	score2:0.48022249690976515	score3:0.46905940594059403	score4:0.48205445544554454	score5:0.48948019801980197
name:logis1	score:0.16394089410550397	score0:0.15617283950617283	score1:0.1605929586164299	score2:0.16131025957972805	score3:0.1577970297029703	score4:0.16027227722772278	score5:0.1875
